Device TU106
--------------------------------------------------------------------------- ----------------------------------------------------------------------------------------------------
Metric Name                                                                 Metric Description                                                                                  
lts__t_sectors_srcunit_l1_aperture_peer_op_read                             # of LTS sectors from unit L1 accessing peer memory (peermem) for reads                            
lts__t_sectors_aperture_sysmem_op_read_lookup_miss                          # of LTS sectors accessing system memory (sysmem) for reads that missed                            
l1tex__t_set_conflicts_pipe_tex_mem_surface_op_st                           # of extra cycles spent on set conflicts for surface stores                                        
l1tex__m_xbar2l1tex_read_bytes_mem_texture                                  # of bytes read from L2 into L1TEX M-Stage# of sectors read from L2 into L1TEX M-Stage for texture 
lts__lts2xbar_cycles_active                                                 # of cycles where interface from LTS to XBAR was active                                            
lts__t_requests_srcunit_tex_aperture_sysmem_op_atom                         # of LTS requests from unit TEX accessing system memory (sysmem) for all atomics                   
l1tex__t_sectors_lookup_hit                                                 # of sector requests to T-Stage with tag-hit and data-hit                                          
smsp__inst_executed_op_generic_st_pred_on_any                               # of warp instructions executed with at least 1 thread predicated on: ST                           
smsp__warps_issue_stalled_wait                                              cumulative # of warps waiting on a fixed latency execution dependency                              
smsp__sass_inst_executed                                                    # of warp instructions executed                                                                    
lts__t_sectors_equiv_l1tagmiss_pipe_lsu                                     # of sectors requested for LSU pipe local/global                                                   
lts__t_sectors_srcunit_tex_aperture_device_op_read_lookup_miss              # of LTS sectors from unit TEX accessing device memory (vidmem) for reads that missed              
lts__t_sectors_srcunit_tex_aperture_device_op_write_lookup_hit              # of LTS sectors from unit TEX accessing device memory (vidmem) for writes that hit                
lts__t_sectors_srcunit_l1_aperture_device_lookup_hit                        # of LTS sectors from unit L1 accessing device memory (vidmem) that hit                            
sm__ctas_active                                                             cumulative # of CTAs in flight                                                                     
l1tex__t_output_wavefronts_pipe_lsu_mem_global                              # of wavefronts sent to Data-Stage from T-Stage for global memory instructions                     
lts__t_sectors_srcunit_l1_aperture_peer_op_write                            # of LTS sectors from unit L1 accessing peer memory (peermem) for writes                           
lts__t_sectors_srcunit_l1_op_write_lookup_hit                               # of LTS sectors from unit L1 for writes that hit                                                  
lts__t_sectors_srcunit_tex_op_membar_lookup_miss                            # of LTS sectors from unit TEX for memory barriers that missed                                     
lts__t_sectors_srcunit_tex_aperture_sysmem_op_write                         # of LTS sectors from unit TEX accessing system memory (sysmem) for writes                         
lts__t_requests_aperture_device_op_atom_dot_alu                             # of LTS requests accessing device memory (vidmem) for atomic ALU (non-CAS)                        
lts__t_sectors_srcunit_tex_aperture_peer_op_atom_dot_cas_lookup_hit         # of LTS sectors from unit TEX accessing peer memory (peermem) for atomic CAS that hit             
gpu__cycles_in_frame                                                        # of cycles in user-defined frame                                                                  
lts__t_requests_srcunit_tex_aperture_device_op_atom_dot_cas                 # of LTS requests from unit TEX accessing device memory (vidmem) for atomic CAS                    
lts__t_sectors_srcunit_tex_op_atom_dot_alu_lookup_miss                      # of LTS sectors from unit TEX for atomic ALU (non-CAS) that missed                                
lts__t_sectors_srcunit_l1_aperture_device_op_red_lookup_miss                # of LTS sectors from unit L1 accessing device memory (vidmem) for reductions that missed          
smsp__inst_executed_op_surface_atom_dot_cas                                 # of warp instructions executed: SUATOM.CAS                                                        
l1tex__texin_cycles_stalled_on_tsl1_miss                                    # of cycles where TEXIN was stalled on TSL1 cache miss, requesting texture or sampler header       
