Device TU106
--------------------------------------------------------------------------- ----------------------------------------------------------------------------------------------------
Metric Name                                                                 Metric Description                                                                                  
lts__t_requests_op_atom_lookup_miss                                         # of LTS requests for all atomics that missed                                                      
lts__t_sectors_srcunit_tex_op_read_lookup_hit                               # of LTS sectors from unit TEX for reads that hit                                                  
lts__t_sectors_srcunit_tex_op_red                                           # of LTS sectors from unit TEX for reductions                                                      
lts__t_requests_srcunit_tex_aperture_sysmem_op_red                          # of LTS requests from unit TEX accessing system memory (sysmem) for reductions                    
l1tex__t_bytes_pipe_tex_mem_texture_op_ld                                   # of bytes requested for TLD instructions                                                          
smsp__inst_executed_pipe_tensor                                             # of warp instructions executed by tensor pipe                                                     
lts__t_sectors_equiv_l1tagmiss_pipe_tex_mem_texture_op_tex                  # of sectors requested for TEX instructions                                                        
lts__t_requests_aperture_peer_op_red_lookup_miss                            # of LTS requests accessing peer memory (peermem) for reductions that missed                       
lts__t_requests_srcunit_l1_aperture_sysmem_op_read_lookup_hit               # of LTS requests from unit L1 accessing system memory (sysmem) for reads that hit                 
smsp__pipe_fp64_cycles_active                                               # of cycles where fp64 pipe was active                                                             
l1tex__t_sectors_pipe_lsu                                                   # of sectors requested for LSU pipe local/global                                                   
smsp__inst_executed_pipe_cbu                                                # of warp instructions executed by cbu pipe                                                        
lts__t_requests_aperture_device_op_write_lookup_hit                         # of LTS requests accessing device memory (vidmem) for writes that hit                             
sm__issue_active                                                            # of cycles where an SMSP issued an instruction                                                    
lts__t_requests_srcunit_l1_aperture_peer_op_atom_dot_cas                    # of LTS requests from unit L1 accessing peer memory (peermem) for atomic CAS                      
lts__t_requests_srcunit_tex_aperture_peer_op_atom_lookup_hit                # of LTS requests from unit TEX accessing peer memory (peermem) for all atomics that hit           
lts__t_requests_srcunit_tex_aperture_device_lookup_hit                      # of LTS requests from unit TEX accessing device memory (vidmem) that hit                          
lts__t_sectors_aperture_peer_op_atom_dot_cas                                # of LTS sectors accessing peer memory (peermem) for atomic CAS                                    
l1tex__t_bytes_pipe_lsu_mem_local_op_ld                                     # of bytes requested for local loads                                                               
l1tex__data_bank_reads                                                      # of data bank reads                                                                               
l1tex__t_set_accesses_pipe_lsu_mem_global_op_ld                             # of cache set accesses for global loads                                                           
l1tex__t_requests_pipe_lsu_mem_global_op_st                                 # of requests sent to T-Stage for global stores                                                    
smsp__mio2rf_writeback_active_pipe_tex                                      # of cycles where the MIO to register file writeback interface was active for TEX return data      
smsp__sass_inst_executed_op_st                                              # of warp instructions executed: STG, ST, STL                                                      
gpu__cycles_active                                                          # of cycles where GPU was active                                                                   
lts__t_sectors_srcunit_l1_op_atom_dot_cas_lookup_miss                       # of LTS sectors from unit L1 for atomic CAS that missed                                           
lts__t_sectors_aperture_peer_op_atom_dot_cas_lookup_miss                    # of LTS sectors accessing peer memory (peermem) for atomic CAS that missed                        
lts__t_sectors_srcunit_l1_aperture_peer_lookup_miss                         # of LTS sectors from unit L1 accessing peer memory (peermem) that missed                           
smsp__inst_executed_op_shared_atom_pred_off_all                             # of warp instructions executed with all threads predicated off: ATOMS.*                            
lts__t_sectors_srcunit_tex_aperture_device_op_write                         # of LTS sectors from unit TEX accessing device memory (vidmem) for writes                          
lts__t_sectors_srcunit_tex_op_atom_dot_alu                                  # of LTS sectors from unit TEX for atomic ALU (non-CAS)                                             
lts__t_requests_op_membar_lookup_hit                                        # of LTS requests for memory barriers that hit                                                      
lts__t_sectors_aperture_peer_lookup_hit                                     # of LTS sectors accessing peer memory (peermem) that hit                                           
lts__t_sectors_srcunit_tex_aperture_device_op_red                           # of LTS sectors from unit TEX accessing device memory (vidmem) for reductions                      
sm__inst_executed_pipe_lsu                                                  # of warp instructions executed by lsu pipe                                                         
l1tex__t_bytes_pipe_tex_mem_texture_op_tex                                  # of bytes requested for TEX instructions                                                           
smsp__inst_executed_pipe_lsu                                                # of warp instructions executed by lsu pipe                                                         
l1tex__t_output_wavefronts_pipe_tex_mem_surface_op_atom                     # of wavefronts sent to Data-Stage from T-Stage for surface atomics                                 
smsp__sass_thread_inst_executed_ops_dadd_dmul_dfma_pred_on                  # of DADD, DMUL and DFMA thread instructions executed where all predicates were true                
lts__t_sectors_aperture_peer_op_read_lookup_hit                             # of LTS sectors accessing peer memory (peermem) for reads that hit                                 
smsp__issue_inst0                                                           # of active cycles where 0 instructions were issued                                                 
lts__t_requests_srcunit_tex_aperture_sysmem_op_write_lookup_miss            # of LTS requests from unit TEX accessing system memory (sysmem) for writes that missed             
lts__t_sectors_srcunit_tex_aperture_peer_op_membar                          # of LTS sectors from unit TEX accessing peer memory (peermem) for memory barriers                  
sm__pipe_fma_cycles_active                                                  # of cycles where fma pipe was active                                                               
sm__inst_executed_pipe_cbu                                                  # of warp instructions executed by cbu pipe                                                         
lts__t_requests_srcunit_tex_aperture_sysmem_op_membar_lookup_miss           # of LTS requests from unit TEX accessing system memory (sysmem) for memory barriers that missed    
lts__t_sectors_srcunit_tex_aperture_sysmem_op_read_lookup_miss              # of LTS sectors from unit TEX accessing system memory (sysmem) for reads that missed               
l1tex__data_pipe_tex_wavefronts                                             # of texture + surface read wavefronts processed by Data-Stage                                      
l1tex__f_cycles_active                                                      # of cycles where L1TEX F-Stage was active                                                          
l1tex__t_sectors_pipe_lsu_lookup_miss                                       # of sector requests to T-Stage that missed for LSU pipe local/global                               
tpc__cycles_in_frame                                                        # of cycles in user-defined frame                                                                   
smsp__inst_executed_op_generic_ld_pred_off_all                              # of warp instructions executed with all threads predicated off: LD                                 
smsp__sass_inst_executed_op_shared                                          # of warp instructions executed: LDS, LD, STS, ST, ATOMS, ATOM                                      
gr__cycles_active                                                           # of cycles where GPU was active                                                                    
lts__t_requests_srcunit_tex_aperture_device_op_read                         # of LTS requests from unit TEX accessing device memory (vidmem) for reads                          
lts__t_requests_lookup_hit                                                  # of LTS requests that hit                                                                          
lts__t_sectors_aperture_sysmem_lookup_hit                                   # of LTS sectors accessing system memory (sysmem) that hit                                          
lts__t_sectors_srcunit_tex_aperture_sysmem_op_read_lookup_hit               # of LTS sectors from unit TEX accessing system memory (sysmem) for reads that hit                  
l1tex__t_set_conflicts_pipe_lsu_mem_global_op_red                           # of extra cycles spent on set conflicts for global reductions                                      
lts__t_requests_aperture_sysmem_lookup_hit                                  # of LTS requests accessing system memory (sysmem) that hit                                         
lts__t_sectors_srcunit_tex_aperture_sysmem_op_write_lookup_hit              # of LTS sectors from unit TEX accessing system memory (sysmem) for writes that hit                 
l1tex__texin_sm2tex_req_cycles_stalled                                      # of cycles where interface carrying requests from SM to L1TEX TEXIN-Stage was stalled              
l1tex__t_output_wavefronts                                                  # of wavefronts sent to Data-Stage from T-Stage                                                     
sm__mio_inst_issued                                                         # of instructions issued from MIOC to MIO                                                           
lts__t_requests_srcunit_tex_aperture_device_op_membar_lookup_hit            # of LTS requests from unit TEX accessing device memory (vidmem) for memory barriers that hit       
lts__t_sectors_aperture_device_op_red_lookup_miss                           # of LTS sectors accessing device memory (vidmem) for reductions that missed                        
lts__t_requests_aperture_peer_op_write_lookup_miss                          # of LTS requests accessing peer memory (peermem) for writes that missed                            
l1tex__m_xbar2l1tex_read_bytes_mem_surface_op_ld                            # of bytes read from L2 into L1TEX M-Stage# of sectors read from L2 into L1TEX M-Stage for surface  
                                                                            loads                                                                                               
smsp__sass_inst_executed_op_atom                                            # of warp instructions executed: ATOM, ATOMG, ATOMS, ATOM                                           
lts__t_sectors_srcunit_l1_aperture_peer_op_atom_dot_alu_lookup_hit          # of LTS sectors from unit L1 accessing peer memory (peermem) for atomic ALU (non-CAS) that hit     
lts__t_sectors_srcunit_tex_aperture_peer_lookup_hit                         # of LTS sectors from unit TEX accessing peer memory (peermem) that hit                             
smsp__inst_executed_op_surface_red_pred_on_any                              # of warp instructions executed with at least 1 thread predicated on: SURED                         
lts__t_sectors_srcunit_tex_op_atom_dot_cas_lookup_miss                      # of LTS sectors from unit TEX for atomic CAS that missed                                           
smsp__inst_executed_op_generic_atom_dot_alu_pred_off_all                    # of warp instructions executed with all threads predicated off: ATOM.ALU, ATOMG.ALU (non-CAS)      
smsp__sass_inst_executed_op_memory_64b                                      # of warp instructions executed by memory instructions with width 64 bit                            
l1tex__t_sectors_pipe_tex_mem_texture_op_tex_lookup_hit                     # of sector requests to T-Stage with tag-hit and data-hit for TEX instructions                      
l1tex__texin_requests_mem_texture_op_null                                   # of requests sent to TEXIN for null texture instructions                                           
lts__t_requests_srcunit_tex_aperture_peer_op_red_lookup_miss                # of LTS requests from unit TEX accessing peer memory (peermem) for reductions that missed          
lts__t_sectors_srcunit_l1_op_atom_lookup_hit                                # of LTS sectors from unit L1 for all atomics that hit                                              
l1tex__m_l1tex2xbar_write_sectors_mem_global_op_atom                        # of sectors read from L2 into L1TEX M-Stage for global atomics                                     
l1tex__t_sectors_pipe_lsu_mem_global_op_st_lookup_miss                      # of sector requests to T-Stage that missed for global stores                                       
l1tex__m_l1tex2xbar_req_cycles_stalled                                      # of cycles where interface from L1TEX M-Stage to XBAR was stalled                                  
lts__t_requests_srcunit_l1_aperture_device_op_membar_lookup_hit             # of LTS requests from unit L1 accessing device memory (vidmem) for memory barriers that hit        
lts__t_sectors_aperture_device_op_red                                       # of LTS sectors accessing device memory (vidmem) for reductions                                    
l1tex__t_bytes_pipe_lsu_mem_global_op_atom                                  # of bytes requested for global atomics                                                             
lts__t_bytes_equiv_l1sectormiss_pipe_tex_mem_surface_op_st                  # of bytes requested for surface stores                                                             
sm__inst_executed_pipe_tensor_op_hmma                                       # of warp instructions executed by tensor_op_hmma pipe                                              
lts__t_requests_aperture_sysmem_op_red_lookup_miss                          # of LTS requests accessing system memory (sysmem) for reductions that missed                       
sm__warps_launched_shader_cs                                                # of warps launched for CS                                                                          
lts__t_sectors_srcunit_l1_op_red_lookup_miss                                # of LTS sectors from unit L1 for reductions that missed                                            
lts__t_sectors_aperture_device_op_membar_lookup_hit                         # of LTS sectors accessing device memory (vidmem) for memory barriers that hit                      
l1tex__t_set_conflicts_pipe_tex                                             # of extra cycles spent on set conflicts for TEX pipe                                               
l1tex__t_bytes_pipe_tex_mem_surface_op_red_lookup_hit                       # of bytes requested with tag-hit and data-hit for surface reductions                               
smsp__warps_issue_stalled_membar                                            cumulative # of warps waiting on a memory barrier                                                   
smsp__inst_executed_op_surface_atom_dot_cas_pred_off_all                    # of warp instructions executed with all threads predicated off: SUATOM.CAS                         
lts__t_requests_srcunit_l1_aperture_peer_op_write_lookup_hit                # of LTS requests from unit L1 accessing peer memory (peermem) for writes that hit                  
lts__t_requests_srcunit_tex_lookup_miss                                     # of LTS requests from unit TEX that missed                                                         
lts__t_sectors_aperture_device                                              # of LTS sectors accessing device memory (vidmem)                                                   
lts__t_sectors_aperture_sysmem_op_atom_dot_cas_lookup_miss                  # of LTS sectors accessing system memory (sysmem) for atomic CAS that missed                        
lts__t_sectors_srcunit_l1_op_membar_lookup_miss                             # of LTS sectors from unit L1 for memory barriers that missed                                       
lts__t_sectors_aperture_sysmem_op_atom_dot_cas                              # of LTS sectors accessing system memory (sysmem) for atomic CAS                                    
lts__t_sectors_aperture_peer_op_atom                                        # of LTS sectors accessing peer memory (peermem) for all atomics                                    
smsp__inst_executed_op_surface_ld_pred_on_any                               # of warp instructions executed with at least 1 thread predicated on: SULD                          
smsp__inst_executed_op_global_ld_pred_on_any                                # of warp instructions executed with at least 1 thread predicated on: LDG                           
l1tex__data_pipe_lsu_wavefronts_cmd_read                                    # of local/global/shared read wavefronts processed by Data-Stage                                    
lts__t_requests_srcunit_l1_aperture_sysmem_op_write_lookup_miss             # of LTS requests from unit L1 accessing system memory (sysmem) for writes that missed              
lts__t_requests_srcunit_l1_aperture_peer_op_atom                            # of LTS requests from unit L1 accessing peer memory (peermem) for all atomics                      
lts__t_requests_srcunit_tex_aperture_sysmem_op_atom_lookup_hit              # of LTS requests from unit TEX accessing system memory (sysmem) for all atomics that hit           
l1tex__t_output_wavefronts_pipe_lsu_mem_global_op_atom                      # of wavefronts sent to Data-Stage from T-Stage for global atomics                                  
l1tex__t_output_wavefronts_pipe_tex_mem_texture                             # of wavefronts sent to Data-Stage from T-Stage for texture instructions                            
lts__t_requests_srcunit_tex_op_red                                          # of LTS requests from unit TEX for reductions                                                      
lts__t_sectors_srcunit_tex_aperture_peer                                    # of LTS sectors from unit TEX accessing peer memory (peermem)                                      
lts__t_sectors_aperture_sysmem_op_write                                     # of LTS sectors accessing system memory (sysmem) for writes                                        
lts__t_requests_aperture_sysmem_op_atom_lookup_miss                         # of LTS requests accessing system memory (sysmem) for all atomics that missed                      
lts__t_sectors_srcunit_l1_aperture_peer_op_membar_lookup_hit                # of LTS sectors from unit L1 accessing peer memory (peermem) for memory barriers that hit          
smsp__sass_thread_inst_executed_op_bit_pred_on                              # of bit thread instructions executed where all predicates were true                                
lts__t_sectors_aperture_peer_op_membar_lookup_hit                           # of LTS sectors accessing peer memory (peermem) for memory barriers that hit                       
tpc__warp_launch_cycles_stalled_shader_cs_reason_shmem_allocation           # of cycles where CS warp launch was stalled due to shmem allocation (non-exclusively)              
lts__t_requests_srcunit_l1_aperture_device_op_membar                        # of LTS requests from unit L1 accessing device memory (vidmem) for memory barriers                 
dram__bytes_write                                                           # of bytes written to DRAM                                                                          
smsp__inst_executed_pipe_fp64_pred_off_all                                  # of warp instructions executed by fp64 with all threads predicated off                             
lts__t_sectors_srcunit_tex_op_red_lookup_miss                               # of LTS sectors from unit TEX for reductions that missed                                           
tpc__cycles_elapsed                                                         # of cycles where TPC was active                                                                    
lts__t_sectors_srcunit_tex_aperture_sysmem_lookup_hit                       # of LTS sectors from unit TEX accessing system memory (sysmem) that hit                            
lts__t_sectors_srcunit_tex_aperture_sysmem_op_atom                          # of LTS sectors from unit TEX accessing system memory (sysmem) for all atomics                     
lts__t_sectors_srcunit_tex_aperture_sysmem_op_write_lookup_miss             # of LTS sectors from unit TEX accessing system memory (sysmem) for writes that missed              
lts__t_requests_srcunit_l1_aperture_sysmem_op_membar_lookup_hit             # of LTS requests from unit L1 accessing system memory (sysmem) for memory barriers that hit        
lts__t_sectors_srcunit_tex_aperture_peer_op_read_lookup_miss                # of LTS sectors from unit TEX accessing peer memory (peermem) for reads that missed                
smsp__inst_executed_op_shared_atom_pred_on_any                              # of warp instructions executed with at least 1 thread predicated on: ATOMS.*                       
lts__t_sectors_srcunit_tex_aperture_sysmem                                  # of LTS sectors from unit TEX accessing system memory (sysmem)                                     
lts__t_requests_srcunit_tex_aperture_sysmem                                 # of LTS requests from unit TEX accessing system memory (sysmem)                                    
lts__t_requests_srcunit_l1_aperture_device_op_atom_lookup_miss              # of LTS requests from unit L1 accessing device memory (vidmem) for all atomics that missed         
l1tex__cycles_active                                                        # of cycles where L1TEX was active                                                                  
lts__t_requests_op_atom_lookup_hit                                          # of LTS requests for all atomics that hit                                                          
lts__t_sectors_srcunit_tex_aperture_device_op_membar_lookup_miss            # of LTS sectors from unit TEX accessing device memory (vidmem) for memory barriers that missed     
gpc__cycles_in_frame                                                        # of cycles in user-defined frame                                                                   
lts__t_sectors_srcunit_l1_aperture_device_op_atom_dot_alu_lookup_hit        # of LTS sectors from unit L1 accessing device memory (vidmem) for atomic ALU (non-CAS) that hit    
lts__t_sectors_srcunit_tex_op_atom_dot_cas                                  # of LTS sectors from unit TEX for atomic CAS                                                       
l1tex__t_set_conflicts_pipe_tex_mem_surface_op_atom                         # of extra cycles spent on set conflicts for surface atomics                                        
tpc__warp_launch_cycles_stalled_shader_cs_reason_register_allocation        # of cycles where CS warp launch was stalled due to register allocation (non-exclusively)           
lts__t_requests_srcunit_l1_op_red_lookup_hit                                # of LTS requests from unit L1 for reductions that hit                                              
smsp__sass_thread_inst_executed_pred_on                                     # of thread instructions where all predicates were true                                             
lts__t_requests_aperture_peer_op_atom_lookup_miss                           # of LTS requests accessing peer memory (peermem) for all atomics that missed                       
l1tex__t_set_accesses_pipe_lsu_mem_local_op_st                              # of cache set accesses for local stores                                                            
lts__t_requests_srcunit_tex_aperture_sysmem_op_atom_dot_alu                 # of LTS requests from unit TEX accessing system memory (sysmem) for atomic ALU (non-CAS)           
smsp__sass_thread_inst_executed_ops_fadd_fmul_ffma_pred_on                  # of FADD, FMUL and FFMA thread instructions executed where all predicates were true                
lts__t_requests_op_red_lookup_miss                                          # of LTS requests for reductions that missed                                                        
sm__mio_pq_write_cycles_active_pipe_tex                                     # of cycles where register operands from the register file were written to MIO PQ, for the tex pipe 
l1tex__m_xbar2l1tex_read_bytes_mem_global_op_atom                           # of bytes read from L2 into L1TEX M-Stage# of sectors read from L2 into L1TEX M-Stage for global   
                                                                            atomics                                                                                             
lts__cycles_in_frame                                                        # of cycles in user-defined frame                                                                   
lts__t_sectors_aperture_device_op_atom_dot_alu                              # of LTS sectors accessing device memory (vidmem) for atomic ALU (non-CAS)                          
l1tex__t_bytes_pipe_lsu_mem_global_op_ld_lookup_miss                        # of bytes requested that missed for global loads                                                   
smsp__inst_executed_op_ldc                                                  # of warp instructions executed: LDC                                                                
smsp__warps_issue_stalled_barrier                                           cumulative # of warps waiting for sibling warps at a CTA barrier                                    
sm__warps_active_shader_cs_realtime                                         cumulative # of active CS warps                                                                     
lts__t_sectors_srcunit_l1_aperture_device_op_write_lookup_hit               # of LTS sectors from unit L1 accessing device memory (vidmem) for writes that hit                  
lts__t_requests_srcunit_l1_aperture_peer_op_membar                          # of LTS requests from unit L1 accessing peer memory (peermem) for memory barriers                  
lts__t_sectors_srcunit_tex_aperture_device_op_atom_dot_cas_lookup_miss      # of LTS sectors from unit TEX accessing device memory (vidmem) for atomic CAS that missed          
sm__inst_issued                                                             # of warp instructions issued                                                                       
lts__t_requests_srcunit_l1_aperture_device_lookup_miss                      # of LTS requests from unit L1 accessing device memory (vidmem) that missed                         
lts__t_sectors_srcunit_l1_op_read_lookup_miss                               # of LTS sectors from unit L1 for reads that missed                                                 
l1tex__m_xbar2l1tex_read_bytes_mem_lg_op_ld                                 # of bytes read from L2 into L1TEX M-Stage# of sectors read from L2 into L1TEX M-Stage for          
                                                                            local/global loads                                                                                  
lts__d_sectors                                                              # of sectors accessed in data banks                                                                 
lts__t_requests_lookup_miss                                                 # of LTS requests that missed                                                                       
smsp__sass_inst_executed_op_memory_16b                                      # of warp instructions executed by memory instructions with width 16 bit                            
lts__t_requests_srcunit_l1_aperture_peer_op_atom_dot_alu                    # of LTS requests from unit L1 accessing peer memory (peermem) for atomic ALU (non-CAS)             
l1tex__t_bytes_pipe_tex_mem_surface_op_ld                                   # of bytes requested for surface loads                                                              
lts__t_sectors_srcunit_tex_aperture_peer_op_atom_dot_cas_lookup_miss        # of LTS sectors from unit TEX accessing peer memory (peermem) for atomic CAS that missed           
smsp__sass_sectors_mem_global                                               # of global memory sectors accessed                                                                 
l1tex__t_sectors_pipe_tex_mem_texture                                       # of sectors requested for texture                                                                  
l1tex__t_bytes_pipe_lsu_lookup_miss                                         # of bytes requested that missed for LSU pipe local/global                                          
lts__t_sectors_aperture_peer_op_read                                        # of LTS sectors accessing peer memory (peermem) for reads                                          
lts__t_sectors_op_atom_dot_cas_lookup_miss                                  # of LTS sectors for atomic CAS that missed                                                         
lts__t_sectors_srcunit_l1_aperture_peer_op_atom_dot_cas                     # of LTS sectors from unit L1 accessing peer memory (peermem) for atomic CAS                        
l1tex__t_bytes_pipe_lsu_mem_global_op_red_lookup_miss                       # of bytes requested that missed for global reductions                                              
smsp__thread_inst_executed                                                  # of thread instructions executed                                                                   
lts__t_requests_aperture_device_op_red_lookup_hit                           # of LTS requests accessing device memory (vidmem) for reductions that hit                          
l1tex__f_tex2sm_cycles_active                                               # of cycles where texture/surface writeback interface was active                                    
lts__t_requests_srcunit_l1_aperture_device                                  # of LTS requests from unit L1 accessing device memory (vidmem)                                     
l1tex__m_xbar2l1tex_read_sectors_mem_surface_op_atom                        # of sectors read from L2 into L1TEX M-Stage for surface atomics                                    
lts__t_requests_srcunit_tex_op_read                                         # of LTS requests from unit TEX for reads                                                           
lts__t_sectors_srcunit_tex_op_atom_lookup_hit                               # of LTS sectors from unit TEX for all atomics that hit                                             
lts__t_sectors_srcunit_tex_aperture_sysmem_op_atom_dot_cas                  # of LTS sectors from unit TEX accessing system memory (sysmem) for atomic CAS                      
lts__t_requests_srcunit_l1_aperture_peer                                    # of LTS requests from unit L1 accessing peer memory (peermem)                                      
smsp__warps_issue_stalled_imc_miss                                          cumulative # of warps waiting for an immediate constant cache (IMC) miss                            
lts__t_sectors_srcunit_tex_aperture_peer_op_atom_dot_alu_lookup_hit         # of LTS sectors from unit TEX accessing peer memory (peermem) for atomic ALU (non-CAS) that hit    
l1tex__t_sectors_pipe_lsu_mem_global_op_atom_lookup_hit                     # of sector requests to T-Stage with tag-hit and data-hit for global atomics                        
l1tex__t_requests_pipe_tex_mem_surface                                      # of requests sent to T-Stage from the L1TEX X-Stage for surfaces                                   
smsp__inst_executed_op_shared_st_pred_off_all                               # of warp instructions executed with all threads predicated off: STS                                
lts__t_sectors_aperture_sysmem_op_membar_lookup_hit                         # of LTS sectors accessing system memory (sysmem) for memory barriers that hit                      
lts__t_requests_aperture_device_op_membar_lookup_miss                       # of LTS requests accessing device memory (vidmem) for memory barriers that missed                  
l1tex__t_sectors                                                            # of sectors requested                                                                              
smsp__inst_executed_op_local_ld_pred_off_all                                # of warp instructions executed with all threads predicated off: LDL                                
smsp__warps_issue_stalled_short_scoreboard                                  cumulative # of warps waiting for a scoreboard dependency on MIO operation other than (local,       
                                                                            global, surface, tex)                                                                               
l1tex__t_bytes_pipe_tex_mem_surface_op_atom                                 # of bytes requested for surface atomics                                                            
lts__t_sectors_aperture_peer_op_red_lookup_hit                              # of LTS sectors accessing peer memory (peermem) for reductions that hit                            
sm__mioc_inst_issued                                                        # of instructions issued from SMSP to MIO Control stage                                             
smsp__warps_issue_stalled_dispatch_stall                                    cumulative # of warps waiting on a dispatch stall                                                   
lts__t_requests_op_membar_lookup_miss                                       # of LTS requests for memory barriers that missed                                                   
l1tex__t_bytes_pipe_tex_mem_surface_op_ld_lookup_hit                        # of bytes requested with tag-hit and data-hit for surface loads                                    
smsp__inst_executed_op_surface_atom_pred_on_any                             # of warp instructions executed with at least 1 thread predicated on: SUATOM.*                      
lts__t_requests_aperture_sysmem_op_read_lookup_miss                         # of LTS requests accessing system memory (sysmem) for reads that missed                            
lts__cycles_in_region                                                       # of cycles in user-defined region                                                                  
l1tex__t_requests_pipe_lsu_mem_global_op_ld                                 # of requests sent to T-Stage for global loads                                                      
sm__inst_executed_pipe_alu                                                  # of warp instructions executed by alu pipe                                                         
lts__t_sectors_srcunit_tex_aperture_device_op_red_lookup_hit                # of LTS sectors from unit TEX accessing device memory (vidmem) for reductions that hit             
lts__t_sectors_srcunit_l1_aperture_peer_op_red                              # of LTS sectors from unit L1 accessing peer memory (peermem) for reductions                        
lts__t_requests_srcunit_l1_aperture_sysmem_op_atom_dot_cas                  # of LTS requests from unit L1 accessing system memory (sysmem) for atomic CAS                      
lts__t_requests_srcunit_l1_aperture_sysmem_op_membar_lookup_miss            # of LTS requests from unit L1 accessing system memory (sysmem) for memory barriers that missed     
lts__t_requests_srcunit_tex_lookup_hit                                      # of LTS requests from unit TEX that hit                                                            
lts__t_sectors_equiv_l1tagmiss_pipe_lsu_mem_global_op_red                   # of sectors requested for global reductions                                                        
lts__t_sectors_srcunit_tex_aperture_device                                  # of LTS sectors from unit TEX accessing device memory (vidmem)                                     
lts__t_requests_srcunit_tex_aperture_sysmem_op_atom_dot_cas                 # of LTS requests from unit TEX accessing system memory (sysmem) for atomic CAS                     
l1tex__data_bank_conflicts_pipe_lsu_mem_shared_op_ld                        # of data bank conflicts generated by shared loads                                                  
lts__t_tag_requests                                                         # of tag requests sent to LTS                                                                       
lts__t_sectors_aperture_device_lookup_miss                                  # of LTS sectors accessing device memory (vidmem) that missed                                       
lts__t_sectors_srcunit_tex_op_write                                         # of LTS sectors from unit TEX for writes                                                           
sys__cycles_in_frame                                                        # of cycles in user-defined frame                                                                   
lts__t_sectors_lookup_hit                                                   # of LTS sectors that hit                                                                           
l1tex__t_requests                                                           # of requests sent to T-Stage                                                                       
lts__t_sectors_srcunit_l1_aperture_sysmem_op_atom_dot_cas_lookup_miss       # of LTS sectors from unit L1 accessing system memory (sysmem) for atomic CAS that missed           
l1tex__t_set_accesses_pipe_tex_mem_texture_op_ld                            # of cache set accesses for TLD instructions                                                        
lts__t_sectors_srcunit_l1_op_red_lookup_hit                                 # of LTS sectors from unit L1 for reductions that hit                                               
lts__t_sectors_aperture_device_op_red_lookup_hit                            # of LTS sectors accessing device memory (vidmem) for reductions that hit                           
lts__t_sectors_aperture_device_op_atom_dot_alu_lookup_hit                   # of LTS sectors accessing device memory (vidmem) for atomic ALU (non-CAS) that hit                 
l1tex__t_bytes_pipe_tex_mem_surface_op_atom_lookup_hit                      # of bytes requested with tag-hit and data-hit for surface atomics                                  
sm__mio2rf_writeback_active                                                 # of cycles where the MIO to register file writeback interface was active                           
lts__t_requests_aperture_peer_op_membar                                     # of LTS requests accessing peer memory (peermem) for memory barriers                              
smsp__inst_executed_op_shared_atom_dot_cas_pred_off_all                     # of warp instructions executed with all threads predicated off: ATOMS.CAS                         
smsp__sass_thread_inst_executed_op_fp16_pred_on                             # of half-precision floating-point thread instructions executed where all predicates were true     
l1tex__t_sectors_pipe_tex_mem_texture_op_tex                                # of sectors requested for TEX instructions                                                        
smsp__warps_issue_stalled_mio_throttle                                      cumulative # of warps waiting for a free entry in the MIO instruction queue                        
sm__inst_executed_pipe_tex                                                  # of warp instructions executed by tex pipe                                                        
lts__t_sectors_aperture_peer_op_write_lookup_hit                            # of LTS sectors accessing peer memory (peermem) for writes that hit                               
lts__t_sectors_aperture_sysmem_op_read_lookup_hit                           # of LTS sectors accessing system memory (sysmem) for reads that hit                               
smsp__sass_thread_inst_executed_op_misc_pred_on                             # of miscellaneous instructions executed where all predicates were true                            
lts__t_requests_aperture_device_op_read_lookup_miss                         # of LTS requests accessing device memory (vidmem) for reads that missed                           
lts__t_requests_srcunit_tex_aperture_peer_op_red_lookup_hit                 # of LTS requests from unit TEX accessing peer memory (peermem) for reductions that hit            
lts__t_requests                                                             # of LTS requests                                                                                  
smsp__sass_inst_executed_op_global_ld                                       # of warp instructions executed: LDG, LD                                                           
l1tex__t_sectors_pipe_lsu_mem_global_op_ld_lookup_miss                      # of sector requests to T-Stage that missed for global loads                                       
smsp__inst_executed_pipe_adu                                                # of warp instructions executed by adu pipe                                                        
gr__cycles_elapsed                                                          # of cycles elapsed on GR                                                                          
lts__t_requests_aperture_sysmem_op_red_lookup_hit                           # of LTS requests accessing system memory (sysmem) for reductions that hit                         
l1tex__m_l1tex2xbar_write_bytes_mem_surface_op_st                           # of bytes written to L2# of sectors written to L2 for surface stores                              
lts__t_sectors_aperture_device_op_atom_dot_cas                              # of LTS sectors accessing device memory (vidmem) for atomic CAS                                   
lts__t_requests_srcunit_l1_aperture_peer_op_atom_lookup_miss                # of LTS requests from unit L1 accessing peer memory (peermem) for all atomics that missed         
lts__t_requests_srcunit_l1_aperture_device_op_read_lookup_hit               # of LTS requests from unit L1 accessing device memory (vidmem) for reads that hit                 
l1tex__t_sectors_pipe_tex_mem_surface_op_st                                 # of sectors requested for surface stores                                                          
smsp__sass_inst_executed_op_shared_st                                       # of warp instructions executed: STS, ST                                                           
smsp__sass_thread_inst_executed_op_hadd_pred_on                             # of HADD thread instructions executed where all predicates were true                              
